decade,newspaper,total_pages,pages_with_faces,percent_of_pages_with_face
1880,IMP,34,1,2.941176470588235
1900,IMP,68,17,25.0
1950,IMP,94,47,50.0
1990,IMP,201,96,47.76119402985074
2010,IMP,188,146,77.6595744680851
1920,IMP,64,29,45.3125
1980,IMP,210,106,50.476190476190474
2000,IMP,216,153,70.83333333333334
1940,IMP,56,16,28.57142857142857
1890,IMP,51,12,23.52941176470588
1960,IMP,144,60,41.66666666666667
1970,IMP,200,82,41.0
1930,IMP,54,19,35.18518518518518
1910,IMP,52,17,32.69230769230769
